SIS 3000Y(5) Final Year Project 
SIS 3114Y(5) Agile Principles and Practices 
SIS 3119Y(5) Artificial Intelligence 

ELECTIVES TO choose ONE (1) module from:
ICT 3040Y(5) Network Technologies 
SIS 3023Y(5) Web Frameworks and Patterns 
SIS 3088Y(5) Software Security 
SIS 3115Y(5) Software Quality Assurance And Configuration Management 
SIS 3117Y(5) Business Process Management and Enterprise Systems 
SIS 3144Y(5) Robotic Process Automation Fundamentals 
