SIS 1011Y(1) Software Analysis and Modelling , Car Rental Software Project
SIS 1012Y(1) Database Systems, SQL Project
ICDT 1016Y(1) Communication and Business Skills for IT, Presentation
SIS 1039Y(1) Software Engineering Principles,
SIS 1040Y(1) Software Design Fundamentals and Programming , C++ Console Application
SIS 1042Y(1) Discrete Structures,
